mode,file_name,verdict,source,confidence,best_match_file,best_match_score,expected_match_score,retrieval_time_ms,llm_time_ms,total_time_ms,question,reply
auto,campus_store_delivery_directions.txt,good,FAQ_SOURCE_0,0.8702051043510437,campus_store_delivery_directions.txt,0.9109,0.9109,16.54,0.0,20.04,How do I get delivery directions to the CBU Campus Store?,"The CBU Campus Store is located at:

8432 Magnolia Ave
Riverside, CA 92504

For delivery directions, use the address above with your preferred navigation app or mapping service (Google Maps, Apple Maps, etc.).

If you are shipping a return to the Campus Store, send it to:

California Baptist University
Attn: Campus Store
8432 Magnolia Ave
Riverside, CA 92504

Please allow 1 to 3 weeks for returns to be received and processed.

CONTACT:
Phone: 951-343-4259
Email: cscontact@calbaptist.edu"
auto,campus_store_digital_codes.txt,good,FAQ_SOURCE_1,0.784198522567749,campus_store_digital_codes.txt,0.97,0.97,15.02,0.0,17.02,What are the terms for digital codes and licensing at the CBU Campus Store?,"When you purchase a digital product from the CBU Campus Store, you are licensing it for a set duration — not purchasing permanent ownership of the content.

Effective Date: January 1, 2025

LICENSE DURATION:
The duration of your license is clearly stated in the product description. Products labeled as ""Lifetime"" typically mean five (5) years of online access and permanent download to a supported device.

LICENSE CHARACTERISTICS:
- All licenses are non-transferable — they cannot be shared or assigned to another person
- The purchase grants you specific access rights as described in the product details
- Ownership of the underlying content remains with the publisher or creator

LIFETIME LICENSES INCLUDE:
- Online Access: access to the product on the platform for typically five (5) years
- Downloads: you may permanently download the product to a supported device
- Support and Maintenance: support for downloaded files is tied to compatibility with VitalSource supported devices and platforms at the time of download

DOWNLOADS:
You can download digital products for use on a supported device (the two most recent versions of an operating system). Downloads will function as long as VitalSource supports the device.

ACCESS CODES:
For products classified as Access Codes, including bundles with eBooks and Access Codes:
- These products are provided by a third party
- All information about these products including duration, licensing terms, and technical requirements can be found on the respective provider's website
- While the Campus Store facilitates your purchase, ongoing access and support are managed by the access code provider

IMPORTANT:
Access codes and digital content are FINAL SALE — they are not eligible for return or refund once purchased or redeemed.

CONTACT:
Email: cscontact@calbaptist.edu
Phone: 951-343-4259"
auto,campus_store_hours.txt,good,FAQ_SOURCE_2,0.8604100346565247,campus_store_hours.txt,0.8796,0.8796,19.49,0.0,21.47,What are the CBU Campus Store hours?,"The CBU Campus Store is open during the following hours:

- Monday: 8:00AM – 5:00PM
- Tuesday: 8:00AM – 5:00PM
- Wednesday: 8:00AM – 5:00PM
- Thursday: 8:00AM – 5:00PM
- Friday: 8:00AM – 5:00PM
- Saturday: 10:00AM – 3:00PM
- Sunday: Closed

Note: Store hours may vary for holidays or special events. Check the Campus Store website for the latest updates.

CONTACT:
Phone: 951-343-4259
Email: cscontact@calbaptist.edu"
auto,campus_store_instore_pickup.txt,good,FAQ_SOURCE_3,0.7538143992424011,campus_store_instore_pickup.txt,0.9658,0.9658,30.36,0.0,32.89,What is the CBU Campus Store in store pickup policy?,"If you choose In Store Pickup as your shipping method, the Campus Store will notify you by email when your order is ready.

PICKUP WINDOW:
Packages are held at the store free of charge for 14 days once your order has been processed.

UNCLAIMED PACKAGES (after 14 days):
- General Merchandise, Textbooks, and Tradebooks: refunded to the payment method on file with a 25% restocking fee deducted
- Apple and Technology products: refunded to the payment method on file with a 10% restocking fee deducted

The following items will NOT be refunded if left unclaimed:
- Orders purchased using a book voucher
- Access codes and other digital content
- Pre-paid items (specially ordered and considered final sale)
- Rented textbooks: if left in unclaimed packages by the end of the semester rental return deadline, the textbooks will be returned at the register to avoid late fees but will not be refunded — no exceptions

PICKUP EXTENSION:
You may request an extension of the pickup window to 30 days from the original order processing date by filling out the In Store Pickup Extension Form before the original 14-day deadline.

Important conditions for extensions:
- You must fill out the In Store Pickup Extension Form before the original 14-day deadline
- If an extension is granted, the order will be considered FINAL SALE and will no longer be eligible for return or exchange

CONTACT:
Email: cscontact@calbaptist.edu
Phone: 951-343-4259"
auto,campus_store_location.txt,good,FAQ_SOURCE_4,0.8295460939407349,campus_store_location.txt,1.0,1.0,25.41,0.0,26.91,Where is the CBU Campus Store located?,"The CBU Campus Store is located at:

8432 Magnolia Ave
Riverside, CA 92504

Phone: 951-343-4259
Email: cscontact@calbaptist.edu

STORE HOURS:
- Monday–Friday: 8:00AM – 5:00PM
- Saturday: 10:00AM – 3:00PM
- Sunday: Closed

Note: Hours may vary for holidays or special events."
auto,campus_store_merchandise.txt,needs_review,FAQ_SOURCE_5,0.6144788861274719,campus_store_merchandise.txt,0.1618,0.1618,27.55,0.0,30.44,What does the Campus Store sell?,"The CBU Campus Store carries a wide variety of CBU-branded merchandise, apparel, technology, course supplies, and gifts. For the full selection, contact: cscontact@calbaptist.edu

ALUMNI:
- Alumni gear, accessories, and apparel

ATHLETICS:
- Nike headwear, polos, and shirts
- Athletic accessories, bottoms, headwear, outerwear, shirts, jerseys, tank tops

BOTTOMS:
- Lounge and pajamas, shorts, sweatpants, women's bottoms

COLLECTIONS:
- 75th Anniversary, best sellers, sale items
- CBU Family, CBU Grandparents, CBU Pets
- Disney x CBU, Hello Kitty x CBU, Peanuts x CBU
- Julia Gash Collection, March Madness, Christmas and seasonal

COURSE SUPPLIES:
- ARC and ART kits, general supplies, lab products
- Office and school supplies, planners, calendars, binders

DRINKWARE:
- Metal and plastic water bottles, mugs, tumblers

GIFTS AND ACCESSORIES:
- Backpacks, bags, decals, stickers, jewelry, pins
- Lanyards, keychains, plush, toys, socks, footwear
- Throw pillows, totes, wallets, insignia and commencement gifts

GRADUATION GEAR:
- Diploma frames, grad bundles, stoles

HEADWEAR:
- Beanies, hats, visors

OUTERWEAR:
- Crewnecks, full zips, hoodies, jackets, quarter zips, sweaters

SHIRTS:
- Long sleeves, polos, short sleeves, women's shirts

TECHNOLOGY:
- MacBook Air, MacBook Pro, iPads, Apple Pencils
- Beats headphones, chargers, adapters, Mac and iPad accessories

YOUTH:
- Infant and toddler items, youth accessories, bottoms, outerwear, shirts

For store hours and location, ask ""What are the Campus Store hours?"" or ""Where is the Campus Store?""

For more information, contact: cscontact@calbaptist.edu"
auto,campus_store_ordering.txt,good,FAQ_SOURCE_6,0.7933067083358765,campus_store_ordering.txt,0.8484,0.8484,19.19,0.0,22.35,How do I place an order with the CBU Campus Store?,"You can place orders securely through the CBU Campus Store website.

HOW ORDERING WORKS:

Shipping Orders:
Once your order is placed, the Campus Store will send you an email with tracking information after your items have been shipped.

In Store Pickup Orders:
If you choose In Store Pickup, you will receive an email when your order is ready for pickup.

Digital / Access Code Orders:
Some access codes will be delivered electronically via email regardless of the shipping method you selected. This is not immediate delivery and will still take the normal processing time.

PROCESSING TIME:
Please allow up to 48 hours for orders to be processed.

CONTACT:
If you have any questions about your order, contact the Campus Store at:
- Email: cscontact@calbaptist.edu
- Phone: 951-343-4259

Staff can also assist you in placing your order over the phone."
auto,campus_store_refund_merchandise.txt,needs_review,FAQ_SOURCE_5,0.7262345552444458,campus_store_merchandise.txt,0.1618,0.0283,22.64,0.0,34.51,What is the return and refund policy for general merchandise and trade books at the CBU Campus Store?,"The CBU Campus Store carries a wide variety of CBU-branded merchandise, apparel, technology, course supplies, and gifts. For the full selection, contact: cscontact@calbaptist.edu

ALUMNI:
- Alumni gear, accessories, and apparel

ATHLETICS:
- Nike headwear, polos, and shirts
- Athletic accessories, bottoms, headwear, outerwear, shirts, jerseys, tank tops

BOTTOMS:
- Lounge and pajamas, shorts, sweatpants, women's bottoms

COLLECTIONS:
- 75th Anniversary, best sellers, sale items
- CBU Family, CBU Grandparents, CBU Pets
- Disney x CBU, Hello Kitty x CBU, Peanuts x CBU
- Julia Gash Collection, March Madness, Christmas and seasonal

COURSE SUPPLIES:
- ARC and ART kits, general supplies, lab products
- Office and school supplies, planners, calendars, binders

DRINKWARE:
- Metal and plastic water bottles, mugs, tumblers

GIFTS AND ACCESSORIES:
- Backpacks, bags, decals, stickers, jewelry, pins
- Lanyards, keychains, plush, toys, socks, footwear
- Throw pillows, totes, wallets, insignia and commencement gifts

GRADUATION GEAR:
- Diploma frames, grad bundles, stoles

HEADWEAR:
- Beanies, hats, visors

OUTERWEAR:
- Crewnecks, full zips, hoodies, jackets, quarter zips, sweaters

SHIRTS:
- Long sleeves, polos, short sleeves, women's shirts

TECHNOLOGY:
- MacBook Air, MacBook Pro, iPads, Apple Pencils
- Beats headphones, chargers, adapters, Mac and iPad accessories

YOUTH:
- Infant and toddler items, youth accessories, bottoms, outerwear, shirts

For store hours and location, ask ""What are the Campus Store hours?"" or ""Where is the Campus Store?""

For more information, contact: cscontact@calbaptist.edu"
auto,campus_store_refund_process.txt,good,FAQ_SOURCE_8,0.8312219381332397,campus_store_refund_process.txt,0.9841,0.9841,25.12,0.0,32.05,How do I return something to the CBU Campus Store?,"The CBU Campus Store accepts returns in person or by mail, depending on the item. Before returning anything, please read the return policy for your specific item type to confirm it is eligible.

STEP 1 — CONTACT THE CAMPUS STORE FIRST:
Call 951-343-4259 or email cscontact@calbaptist.edu to let the team know you are returning an item and the reason for your return.

STEP 2 — PREPARE YOUR RETURN:
- Make sure your item is in the condition required by the return policy
- Include a copy of your original receipt or packing list
- Include all original materials that came with the item

STEP 3 — RETURN IN PERSON OR BY MAIL:

In Person:
Bring your item to the CBU Campus Store during store hours.
Address: 8432 Magnolia Avenue, Riverside, CA 92504

By Mail (at your expense):
Ship your return to:
California Baptist University
Attn: Campus Store
8432 Magnolia Avenue
Riverside, CA 92504

It is strongly recommended that you insure your package when returning by mail.

PROCESSING TIME:
- Allow 1 to 3 weeks for the return to be received and processed
- If you are expecting a replacement shipment, allow 2 to 4 weeks

RETURN POLICIES BY ITEM TYPE:
- Textbooks: see textbook refund policy for semester-specific deadlines
- General merchandise and trade books: returns accepted within 30 to 60 days depending on restocking fee
- Technology and Apple products: returns accepted within 5 days of purchase
- Access codes and digital content: FINAL SALE — not eligible for return or refund
- Pre-paid items: FINAL SALE

CONTACT:
Email: cscontact@calbaptist.edu
Phone: 951-343-4259"
auto,campus_store_refund_technology.txt,good,FAQ_SOURCE_9,0.891323447227478,campus_store_refund_technology.txt,0.9796,0.9796,21.03,0.0,26.54,What is the return and refund policy for technology and Apple products at the CBU Campus Store?,"All technology merchandise must be in resalable condition in original unopened packaging with manuals and warranties, accompanied by the original receipt.

RETURN WINDOW:
- All returns must be made within 5 days of purchase or pickup
- Original receipt and unopened packaging are required unless the item is defective
- Defective merchandise must be returned within 10 business days of purchase

RESTOCKING FEE:
A 10% restocking fee may be assessed on all returns. Refunds are issued only to the account used to place the original order.

CONDITIONS:
- No returns on closeout, clearance, or opened box stock unless the item is defective
- Defective merchandise is subject to testing before return approval is given
- Defective software must be exchanged with the original manufacturer
- Special-order items are non-returnable unless determined to be defective

TECHNOLOGY PRODUCTS COVERED:
Technology products include but are not limited to:
- Apple products (excluding charging cables)
- Computers and tablets
- Monitors, speakers, headphones and earbuds
- Printers and cameras

HOW TO RETURN:
Call ahead at 951-343-4259 or email cscontact@calbaptist.edu before returning an item. Bring the original receipt and original packaging.

Mail returns to:
California Baptist University
Attn: Campus Store
8432 Magnolia Avenue
Riverside, CA 92504

CONTACT:
Email: cscontact@calbaptist.edu
Phone: 951-343-4259"
